num, ref
49489295, 20357
49489296, 4046
49489297, 4040
49489298, 19
49489299, 8289
49489304, 4524
49489305, 4533
49489307, 3849
49489308, 7281
49489312, 1865
49489313, 4537
49489317, 4535
49489318, 4532
49489321, 4538
49489323, 4531
49489327, 5871
49489329, 4530
49489331, 4525
49489332, 8304
49489334, 4526
49489338, 4523
49489340, 4536
49489342, 5873
49489343, 4520
49489344, 8843
49489345, 4529
49489346, 4534
49489347, 4522
49489349, 4527
49489351, 5872
49489352, 8813
49489355, 5870
49489357, 8332
49489359, 4166
49489361, 4528
49489362, 4432
49489363, 4721
49489364, 4484
49489365, 4184
49489366, 3886
49489367, 1244
49489368, 1868
49489370, 3898
49489371, 4152
49489372, 4124
49489373, 1886
49489374, 8098
49489375, 4703
49489376, 4440
49489377, 4479
49489378, 4496
49489380, 5220
49489381, 5280
49489382, 5261
49489383, 7936
49489385, 5292
49489387, 7987
49489414, 4331
49489415, 3800
49489416, 8555
49489423, 20303
49489425, 20369
49489429, 3803
49489435, 20318
49489436, 2104
49489437, 5471
49489438, 20314
49489439, 8554
49489460, 20308
49489465, 8546
49489466, 5585
49489467, 20307
49489473, 5550
49489474, 20305
49489475, 20330
49489478, 8593
49489486, 20304
49489487, 8553
49489488, 3823
49489492, 20332
49489495, 5405
49489503, 4377
49489506, 4390
49489507, 4303
49489559, 2960
49489561, 8421
49489563, 8406
49489568, 8414
49489579, 2924
49489584, 2994
49489594, 43
49489649, 7115
49489652, 131
49489657, 7113
49489662, 7111
49489663, 7110
49489664, 7117
49489665, 7118
49489666, 7112
49489667, 7114
49489668, 7116
49489670, 7119
49489676, 3182
49489684, 8000
49489685, 8003
49489693, 20770
49489719, 8006
49489723, 20465
49489724, 20641
49489725, 20689
49489738, 8005
49489744, 20692
49489747, 7942
49489760, 20657
49489774, 20538
49489775, 20442
49489781, 20693
49489793, 20642
49489797, 20706
49489801, 8004
49489816, 8007
49489824, 20656
49489837, 8001
49489839, 20611
49489840, 20610
49489860, 8010
49489880, 3195
49489881, 8009
49489888, 8008
49489904, 20672
49489927, 20653
49489950, 20609
49489965, 20691
49489972, 20607
49489981, 20651
49489997, 7531
49490011, 8002
49490030, 20652
49490036, 4864
49490048, 7990
49490049, 8091
49490050, 8228
49490051, 8293
49490079, 3143
49490080, 20160
49490081, 8194
49490082, 8738
49490083, 3144
49490084, 8136
49490085, 8240
49490086, 20152
49490087, 3535
49490089, 8239
49490090, 3169
